,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
20,Methanethiol_PTR,"['DMS_PTR', 'CH4_Piccaro']","[0.5900137701255116, 0.9933042525901643]","[0.6518837510622799, 0.013346661786294955]","[1, 222]","[248, 248]","[1395, 1397]"
21,Acrolein_PTR,"['Acetaldehyde_PTR', 'CO2_Piccaro', 'CO_Piccaro', 'Ethylene', 'Ethene_WAS', 'Benzene_PTR', 'NO_LIF']","[0.48495474921136217, 0.8216319304463952, 0.8245374899302476, 0.8740340995581173, 0.8838606299464222, 0.9137639563227671, 0.9985358774997088]","[0.7648188912173447, 0.32492097087092997, 0.32013792769952676, 0.23606439280963099, 0.21879038683071372, 0.1650354321253643, 0.002926101345886223]","[0, 222, 222, 5, 41, 0, 227]","[247, 247, 247, 247, 247, 247, 247]","[1407, 1397, 1397, 228, 157, 1407, 1407]"
22,Acetone_Propanal_PTR,"['Methanol_PTR', 'Acetone_WAS', 'CO_Piccaro', 'H2O_Piccaro']","[0.7751091434231729, 0.7763304070282132, 0.8702131579041879, 0.9979569512617847]","[0.39920581578179526, 0.3973110991234089, 0.2427290598104208, 0.00408192342828384]","[0, 41, 222, 222]","[247, 247, 247, 247]","[1409, 157, 1397, 1397]"
23,DMS_PTR,"['Methanethiol_PTR', 'H2O_Piccaro', 'CH4_CRDS']","[0.6827084056784694, 0.8979668423744517, 0.9833874203638159]","[0.5339092328159626, 0.19365554999605683, 0.03294918147019976]","[3, 206, 234]","[260, 260, 260]","[1395, 1384, 687]"
24,MVK_MACR_PTR,"['MACR_WAS', 'HCHO_CRDS', 'Isoprene']","[0.410686825659633, 0.6447896873309427, 0.6997711896742059]","[0.8313363312296143, 0.5842462591116651, 0.5103202821019464]","[41, 227, 5]","[247, 247, 247]","[157, 696, 228]"
25,Benzene_PTR,"['Toluene_PTR', 'CO_Piccaro', 'Acetaldehyde_PTR', 'nButane_WAS', 'CO2_Piccaro', 'Toluene', 'NO_LIF']","[0.8684680190832333, 0.8688909781533847, 0.8859769687266463, 0.910677148239888, 0.9360343227105529, 0.983139582984, 0.9989308032456068]","[0.24576329982964484, 0.2450284680836543, 0.21504481088594318, 0.1706671316736652, 0.12383974670779652, 0.03343656037004661, 0.0021372503270865595]","[2, 224, 2, 41, 224, 5, 229]","[249, 249, 249, 249, 249, 249, 249]","[1407, 1395, 1405, 157, 1395, 228, 1405]"
26,Toluene_PTR,"['C8Aromatics_PTR', 'iPentane_WAS', 'CO_Piccaro', 'mpXylene']","[0.3523080432685169, 0.7453927067574405, 0.8056417508375462, 0.82760287455751]","[0.8758790426483088, 0.44438971271281635, 0.35094136930741315, 0.3150734820241461]","[0, 41, 222, 3]","[247, 247, 247, 247]","[1409, 157, 1397, 42]"
27,Styrene_PTR,"['C8Aromatics_PTR', 'Toluene_WAS', 'CO_Piccaro', 'Benzene_PTR', 'Ethyne_WAS', 'Toluene']","[0.4993641168517623, 0.7112391446028187, 0.8264923014910442, 0.8502469420346587, 0.8574469856111563, 0.9055336170116448]","[0.7506354788008595, 0.4941388791846508, 0.3169104755760368, 0.2770801375607119, 0.2647846668663416, 0.18000886846180786]","[4, 41, 226, 3, 41, 6]","[251, 251, 251, 251, 251, 251]","[1405, 157, 1393, 1404, 157, 227]"
28,Benzaldehyde_PTR,"['O3_ppbv', 'Toluene', 'NO2_LIF', 'Toluene_WAS', 'CO_Piccaro', 'C8Aromatics_PTR']","[0.982669458496561, 0.9950757935948279, 0.9973077090769228, 0.9974891330389767, 0.999515723219909, 0.9996325003702091]","[0.03436073533807571, 0.009824165001623641, 0.005377333415739982, 0.005015429469150567, 0.0009683190361822192, 0.0007348642036038022]","[1046, 133, 1049, 137, 1040, 824]","[1071, 1071, 1071, 1071, 1071, 1071]","[518, 100, 585, 61, 579, 585]"
29,C8Aromatics_PTR,"['C9Aromatics_PTR', 'Toluene_WAS', 'iPentane_WAS', 'CO_Piccaro', 'Toluene']","[0.26218522266284827, 0.7172744327398629, 0.7469552643443517, 0.7921589541185778, 0.7926434380740013]","[0.9312589090172327, 0.48551738813770784, 0.44205783306825963, 0.37248419140976086, 0.37171638007822705]","[0, 41, 41, 222, 5]","[247, 247, 247, 247, 247]","[1409, 157, 157, 1397, 228]"
30,C9Aromatics_PTR,"['C8Aromatics_PTR', 'x124_TriMethylBenzene_WAS', 'CO_Piccaro']","[0.2559385350538371, 0.47465875277692626, 0.7675352605903972]","[0.9344954662744958, 0.7746990684122528, 0.41088962375043114]","[0, 41, 222]","[247, 247, 247]","[1409, 157, 1397]"
31,Naphthalene_PTR,"['nNonane', 'nDecane_WAS', 'CO_Piccaro', 'Benzene_PTR', 'nOctane', 'x3_Methylheptane']","[0.3210523226507043, 0.8340706722562852, 0.9013113368585457, 0.9225032652669691, 0.9292238253028932, 0.9981250928508576]","[0.896925406120588, 0.3043261136819484, 0.1876378740502609, 0.14898772557177986, 0.13654308248945835, 0.0037462990214667258]","[33, 111, 756, 536, 89, 89]","[785, 785, 785, 785, 785, 785]","[12, 87, 863, 871, 144, 144]"
32,Octanal_PTR,"['Nonanal_PTR', 'O3_ppbv', 'CO_Piccaro', 'Benzaldehyde_PTR']","[0.5281927393758862, 0.9147041854836583, 0.9684931298974857, 0.9969519917888297]","[0.7210124300705971, 0.16331625305867736, 0.062021057341371755, 0.006086726068285309]","[0, 228, 222, 0]","[247, 247, 247, 247]","[1409, 1336, 1397, 585]"
33,Monoterpenes_PTR,"['Alpha_Pinene_WAS', 'Isoprene', 'H2O_Piccaro']","[0.618150537371845, 0.6183800329636079, 0.9974935277650723]","[0.6178899131468993, 0.6176061348319273, 0.005006662066791012]","[41, 5, 222]","[247, 247, 247]","[157, 228, 1397]"
34,Nonanal_PTR,"['Octanal_PTR', 'CO_Piccaro', 'O3_ppbv', 'Benzaldehyde_PTR']","[0.5278783615071495, 0.9120230381703145, 0.9279868094714818, 0.9968262551391293]","[0.7213444354525271, 0.16821397784658898, 0.1388404814469396, 0.006337417065299666]","[0, 222, 228, 0]","[247, 247, 247, 247]","[1409, 1397, 1336, 585]"
35,C7H4ClF3_PTR,"['C9Aromatics_PTR', 'Toluene_WAS', 'Toluene']","[0.8578885056576311, 0.9499448906885533, 0.9621648018716961]","[0.26402731186051676, 0.09760470465471249, 0.0742388940391997]","[3, 42, 6]","[250, 250, 250]","[1406, 156, 227]"
36,D5_siloxane_PTR,"['Ethanol_PTR', 'Methanol_PTR', 'CO_Piccaro', 'C7H4ClF3_PTR']","[0.3666361304807316, 0.7503346958270081, 0.8094032357843428, 0.8578046079034479]","[0.865577947826116, 0.43699784423819144, 0.3448664019018356, 0.2641712546596121]","[0, 0, 222, 0]","[247, 247, 247, 247]","[1409, 1409, 1397, 1406]"
37,PAN_CIMS,"['PPN_CIMS', 'HCHO_CRDS', 'O3_ppbv', 'CO_Piccaro', 'NOy_LIF', 'Acetaldehyde_PTR']","[0.44005889735170806, 0.8749787238726232, 0.9286938025180261, 0.9291736094703879, 0.9691724608378744, 0.9883833014921327]","[0.8063481668615988, 0.23441223277023582, 0.1375278211646095, 0.13663640346377126, 0.06070474115345881, 0.02309844933151195]","[0, 861, 1445, 1507, 1512, 1304]","[1533, 1533, 1533, 1533, 1533, 1533]","[117, 62, 117, 112, 123, 103]"
38,APAN_CIMS,"['PAN_CIMS', 'NOy_LIF', 'CO_Piccaro', 'Benzene_PTR', 'Acrolein_PTR']","[0.8089925015649206, 0.8144092409146879, 0.9144168868646553, 0.9917978244253729, 0.9980006073784533]","[0.34553113241173194, 0.3367375883127619, 0.1638417570167522, 0.01633707546509755, 0.003994787672238487]","[6, 1518, 1513, 1309, 1311]","[1539, 1539, 1539, 1539, 1539]","[117, 117, 106, 98, 98]"
39,PPN_CIMS,"['PAN_CIMS', 'CO_Piccaro', 'Acetone_WAS', 'NOy_LIF', 'Acetone_Propanal_PTR']","[0.40938358993284363, 0.9420633811042725, 0.9529505832376166, 0.9643068195687353, 0.968181751544738]","[0.8324050762936973, 0.11251658598238656, 0.09188518590708616, 0.07011235773323055, 0.06262409597576335]","[6, 1513, 173, 1518, 1311]","[1539, 1539, 1539, 1539, 1539]","[117, 106, 25, 117, 98]"
40,HCOOH_CIMS,"['HCHO_CRDS', 'Acetaldehyde_PTR', 'CO_Piccaro', 'O3_ppbv']","[0.8211642594174516, 0.9148684905178145, 0.9268940590938223, 0.9979507625278479]","[0.32568925905538826, 0.16301564505765576, 0.14086740321657798, 0.004094275570087014]","[86, 79, 134, 115]","[158, 158, 158, 158]","[837, 1328, 1485, 1449]"
