,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
40,HCOOH_CIMS,"['HCHO_CRDS', 'Acetaldehyde_PTR', 'NO_LIF', 'O3_ppbv']","[0.7954541994424997, 0.7970543163430822, 0.9779196665812226, 0.9859814674423872]","[0.36725261658929187, 0.3647044167988619, 0.04367312571367021, 0.027840545860156718]","[106, 55, 151, 150]","[344, 344, 344, 344]","[775, 1168, 1292, 1276]"
41,HONO_CIMS,"['CO2_Piccaro', 'Acetylene', 'NO_LIF', 'Benzene_PTR']","[0.5333210336322233, 0.7363522803507786, 0.8762907936219574, 0.8766156644347254]","[0.7155686750854569, 0.4577853192222082, 0.23211444501340017, 0.23154497686766506]","[192, 51, 163, 62]","[357, 357, 357, 357]","[1313, 236, 1280, 1163]"
42,O3_ppbv,"['HNO3_CIMS', 'ISOPN_CIMS']","[0.9229742147593861, 0.9981457488733004]","[0.14811859888929435, 0.0037050640061582207]","[59, 60]","[254, 254]","[1277, 1278]"
43,CO2_Piccaro,['CH4_Piccaro'],[0.7768820424643872],[0.39645429209636207],[0],[175],[1505]
44,CH4_Piccaro,['Ethane_WAS'],[0.5304926700209023],[0.7185775270540942],[0],[175],[172]
45,CO_Piccaro,"['Benzene_WAS', 'CO2_Piccaro']","[0.50650168485131, 0.7068556132609503]","[0.7434560432427844, 0.5003551420014859]","[0, 32]","[207, 207]","[172, 1473]"
46,H2O_Piccaro,[],[],[],[],[],[]
47,HCHO_CRDS,"['Acetaldehyde_PTR', 'NO_LIF', 'PAN_CIMS']","[0.7398201458166267, 0.9696597424862459, 0.9999204228511205]","[0.45266615184386516, 0.05975998380150749, 0.00015914796523641694]","[579, 588, 426]","[799, 799, 799]","[644, 855, 682]"
48,H2O_CRDS,[],[],[],[],[],[]
49,CH4_CRDS,['Ethane_WAS'],[0.5392898014937823],[0.7091665100047968],[62],[801],[110]
50,Acetone_WAS,"['Acetone_Propanal_PTR', 'CO_Piccaro', 'Methanol_PTR', 'H2O_Piccaro']","[0.7572461860119594, 0.8624964324961022, 0.8964461892430509, 0.9984646318269367]","[0.426578213770341, 0.2560999039314966, 0.1963842297916123, 0.0030683789907000047]","[1085, 1301, 1085, 1333]","[1508, 1508, 1508, 1508]","[140, 172, 140, 172]"
51,Benzene_WAS,"['Toluene_WAS', 'CO_Piccaro', 'Isopentane']","[0.4172416817237662, 0.45184782941930995, 0.6608473079686382]","[0.8259093790323234, 0.7958335390490582, 0.5632808355506038]","[0, 1301, 176]","[1508, 1508, 1508]","[172, 172, 111]"
52,C2Cl4_WAS,[],[],[],[],[],[]
53,C2HCl3_WAS,"['CH2Cl2_WAS', 'C2Cl4_WAS']","[0.9218609079124538, 0.9667942020952929]","[0.15017246646282634, 0.06530897079492592]","[59, 66]","[1574, 1574]","[106, 106]"
54,CCl4_WAS,"['CF2Cl2_WAS', 'C2Cl4_WAS', 'CFCl3_WAS']","[0.895597275594626, 0.9419014460473751, 0.9779851999667185]","[0.1979055199474833, 0.11282166593386356, 0.04354494864605751]","[0, 0, 0]","[1508, 1508, 1508]","[172, 172, 172]"
55,CF2Cl2_WAS,"['CFCl3_WAS', 'C2Cl4_WAS']","[0.8093321528527359, 0.9838596911569801]","[0.3449814663587558, 0.032020108116491475]","[0, 0]","[1508, 1508]","[172, 172]"
56,CH2Cl2_WAS,['C2Cl4_WAS'],[0.9681660791946847],[0.0626544430967918],[0],[1508],[172]
