ParameterCode,Parameter,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,Units
68107,Sample Max Baro Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68107,Sample Max Baro Pressure,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Sampler,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68107,Sample Max Baro Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68108,Average Ambient Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68108,Average Ambient Pressure,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68108,Average Ambient Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68108,Average Ambient Pressure,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68108,Average Ambient Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68109,Elapsed Sample Time,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM2.5 MASS/QA,Minutes
68109,Elapsed Sample Time,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler,Calculation,PM2.5 MASS/QA,Minutes
68109,Elapsed Sample Time,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM2.5 MASS/QA,Minutes
68109,Elapsed Sample Time,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler,Calculation,PM2.5 MASS/QA,Minutes
68109,Elapsed Sample Time,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Calculation,PM2.5 MASS/QA,Minutes
81102,PM10 Total 0-10um STP,98,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,PM10 Filter,Micrograms/cubic meter (25 C)
81102,PM10 Total 0-10um STP,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,PM10 Filter,Micrograms/cubic meter (25 C)
81102,PM10 Total 0-10um STP,98,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,PM10 Filter,Micrograms/cubic meter (25 C)
81102,PM10 Total 0-10um STP,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,PM10 Filter,Micrograms/cubic meter (25 C)
81102,PM10 Total 0-10um STP,226,Continuous,Met One E-BAM PLUS,Beta Attenuation,Continuous PM10,Micrograms/cubic meter (25 C)
85101,PM10 - LC,98,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,98,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,98,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,98,Intermittent,R&P Model 2000 Partisol,GRAVIMETRIC,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,127,Intermittent,R - P Co Partisol Model 2025,Gravimetric,PM10 Filter,Micrograms/cubic meter (LC)
85101,PM10 - LC,790,Continuous,Virtual Impactor,FDMS-Gravimetric 1405-DF,Continuous PM10,Micrograms/cubic meter (LC)
85101,PM10 - LC,790,Continuous,Virtual Impactor,FDMS-Gravimetric 1405-DF,Continuous PM10,Micrograms/cubic meter (LC)
85101,PM10 - LC,150,Continuous,T A Series FH 62 C14 Continuous,Gravimetric,Continuous PM10,Micrograms/cubic meter (LC)
85129,Lead PM10 LC FRM/FEM,811,Intermittent,Thermo/R & P 2025 PM10,X-ray Fluorescence (EDXRF) FRM,Lead,Micrograms/cubic meter (LC)
86101,PM10-2.5 - Local Conditions,176,Intermittent,Thermo Scientific Partisol-Plus Model 2025 Sequential Sampler Pair,Paired Gravimetric,PM10-25 SPECIATION,Micrograms/cubic meter (LC)
86101,PM10-2.5 - Local Conditions,208,Continuous,Thermo Scientific 14015-D,Gravimetric,PM10-25 SPECIATION,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,118,Intermittent,R & P Model 2025 PM2.5 Sequential w/WINS,GRAVIMETRIC,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,145,Intermittent,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,118,Intermittent,R & P Model 2025 PM2.5 Sequential w/WINS,GRAVIMETRIC,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,145,Intermittent,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,118,Intermittent,R & P Model 2025 PM2.5 Sequential w/WINS,GRAVIMETRIC,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,145,Intermittent,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,118,Intermittent,R & P Model 2025 PM2.5 Sequential w/WINS,GRAVIMETRIC,PM25 Filter,Micrograms/cubic meter (LC)
88101,PM2.5 - Local Conditions,145,Intermittent,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,PM25 Filter,Micrograms/cubic meter (LC)
