Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-10-14 7",0.2366,0.1568,0.1238
"2023-10-14 8",0.1693,0.174,0.0941
"2023-10-14 9",0.2595,0.162,0.2814
"2023-10-14 10",0.2229,0.1944,0.1455
"2023-10-14 11",0.1329,0.1272,0.0895
"2023-10-14 12",0.0665,0.1052,0.0471
"2023-10-14 13",0.0575,0.1011,0.0667
"2023-10-14 14",0,0.0765,0.0883
"2023-10-14 15",0.0664,0.1136,0.0941
"2023-10-14 16",0.0962,0.1038,0.0814
"2023-10-14 17",0.1964,0.0832,0.0982
"2023-10-14 18",0.0556,0.068,0.076
"2023-10-14 19",0.112,0.1033,0.0832
"2023-10-14 20",0.4149,0.2271,0.2326
"2023-10-14 23",0.4375,0.2825,0.4206
"2023-10-15 0",0.4592,0.3257,0.584
"2023-10-15 1",0.3808,0.242,0.1184
"2023-10-15 5",0.202,0.168,0.2372
"2023-10-15 6",0.1477,0.0949,0.2207
"2023-10-15 7",0.1347,0.1783,0.2195
"2023-10-15 8",0.1814,0.157,0.1438
"2023-10-15 9",0.1701,0.1635,0.184
"2023-10-15 10",0.1479,0.1719,0.1496
"2023-10-15 11",0.0839,0.2865,0.2313
"2023-10-15 12",0.0445,0.1537,0.124
"2023-10-15 13",0.0688,0.2463,0.1125
"2023-10-15 14",0.1028,0.1146,0.1231
"2023-10-15 15",0.11,0.0511,0.1092
"2023-10-15 16",0.1034,0.0777,0.0936
"2023-10-15 17",0.0593,0.0586,0.0785
"2023-10-15 18",0.2442,0.1627,0.1975
"2023-10-15 19",0.2821,0.2151,0.276
"2023-10-15 20",0.5298,0.4188,0.4429
"2023-10-15 21",0.3889,0.3328,0.3242
"2023-10-15 22",0.5665,0.3285,0.2047
"2023-10-15 23",DA,DA,DA
"2023-10-16 2",0.2481,0.2561,0.2481
"2023-10-16 3",0.4549,0.2592,0.2108
"2023-10-16 4",0.298,0.2514,0.1599
"2023-10-16 5",0.2123,0.287,0.2274
"2023-10-16 6",0.2481,0.2394,0.2188
"2023-10-16 7",0.3549,0.3026,0.2341
"2023-10-16 8",0.3425,0.3403,0.0169
"2023-10-16 9",0.3515,0.3193,0.0364
"2023-10-16 10",0.3012,0.2617,0.1817
"2023-10-16 11",0.285,0.2418,0.1701
"2023-10-16 12",0.2774,0.2011,0.1563
"2023-10-16 13",0.1316,0.4645,0.119
"2023-10-16 14",0.1044,0.2492,0.1615
"2023-10-16 15",0.172,0.306,0.1776
"2023-10-16 16",0.1757,0.3218,0.1297
"2023-10-16 17",0.2014,0.2085,0.1918
"2023-10-16 18",0.2746,0.2312,0.2476
"2023-10-16 19",0.3813,0.3536,0.4173
"2023-10-16 20",0.3961,0.3348,0.3206
"2023-10-16 21",0.6426,0.4725,0.5654
"2023-10-16 22",0.3929,0.4241,0.3308
"2023-10-16 23",0.5823,0.562,0.8339
"2023-10-17 0",0.5512,0.5191,0.737
"2023-10-17 1",0.2563,0.3472,0.3796
"2023-10-17 4",0.3101,0.2479,0.3137
"2023-10-17 5",0.4352,0.3369,0.3991
"2023-10-17 6",0.6102,0.4134,0.4057
"2023-10-17 7",0.6313,0.4405,0.2717
"2023-10-17 8",0.3412,0.2853,0.2039
"2023-10-17 9",0.2378,0.2783,0.2095
"2023-10-17 10",0.1632,0.3738,0.2315
