Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2024-01-27 9",0.0702,0,0
"2024-01-27 10",0.0382,0,0
"2024-01-27 11",0,0,0
"2024-01-27 12",0,0,0
"2024-01-27 13",0,0,0
"2024-01-27 14",0,0,0
"2024-01-27 15",0,0,0
"2024-01-27 16",0,0,0
"2024-01-27 17",0.0446,0,0
"2024-01-27 18",0.0525,0,0
"2024-01-27 19",0.0571,0,0
"2024-01-27 20",0.0471,0,0
"2024-01-27 23",0.1633,0,0
"2024-01-28 0",0.2405,0,0
"2024-01-28 1",0.1342,0,0
"2024-01-28 5",0.2393,0.1254,0
"2024-01-28 6",0.2497,0.1061,0
"2024-01-28 7",0.2444,0,0
"2024-01-28 8",0.3222,0,0
"2024-01-28 9",0.0907,0,0
"2024-01-28 10",0,0,0
"2024-01-28 11",0.026,0,0
"2024-01-28 12",0.0088,0,0
"2024-01-28 13",0,0,0
"2024-01-28 14",0,0,0
"2024-01-28 15",0.0156,0,0
"2024-01-28 16",0,0,0
"2024-01-28 17",0.0189,0,0
"2024-01-28 18",0.0615,0,0
"2024-01-28 19",0.1021,0,0
"2024-01-28 20",0.1185,0,0
"2024-01-28 21",0.291,0,0
"2024-01-28 22",0.31,0,0
"2024-01-28 23",0.3497,0.1286,0
"2024-01-29 2",0.3154,0.1204,0
"2024-01-29 3",0.2491,0.1768,0
"2024-01-29 4",0.2186,0.1658,0
"2024-01-29 5",0.2738,0,0
"2024-01-29 6",0.2989,0.1102,0
"2024-01-29 7",0.4897,0,0
"2024-01-29 8",0.6309,0.0885,0
"2024-01-29 9",0.2421,0,0
"2024-01-29 10",0.1848,0,0
"2024-01-29 11",0.0626,0,0
"2024-01-29 12",0.0568,0.1999,0
"2024-01-29 13",0.0493,0.2506,0
"2024-01-29 14",0.0175,0.2209,0
"2024-01-29 15",0,0.1715,0
"2024-01-29 16",0,0,0
"2024-01-29 17",0.0401,0,0
"2024-01-29 18",0.1052,0,0
"2024-01-29 19",0.2194,0.1294,0
"2024-01-29 20",0.3737,0.1102,0
"2024-01-29 21",0.4004,0.1109,0
"2024-01-29 22",0.5198,0.2199,0
"2024-01-29 23",0.3713,0.1985,0
"2024-01-30 0",0.238,0,0
"2024-01-30 1",0.2115,0,0
"2024-01-30 8",AN,AN,AN
"2024-01-30 9",0.1886,0,0
"2024-01-30 10",0.1296,0,0
"2024-01-30 11",0,0,0
"2024-01-30 13",0.0611,0.1952,0
"2024-01-30 14",0.043,0,0
"2024-01-30 15",0,0,0
"2024-01-30 16",0.0416,0,0
"2024-01-30 18",0.1266,0.1882,0
"2024-01-30 19",0.224,0.1797,0
"2024-01-30 20",0.3436,0,0
"2024-01-30 21",0.4209,0,0
"2024-01-30 22",0.4483,0.1143,0
"2024-01-30 23",0.213,0,0
"2024-01-31 0",0.2283,0,0
"2024-01-31 3",0.1433,0,0
"2024-01-31 4",0.1452,0,0
"2024-01-31 5",0.2021,0,0
"2024-01-31 6",0.282,0,0
"2024-01-31 7",0.4187,0,0
"2024-01-31 8",0.5427,0.1647,0
"2024-01-31 9",AN,AN,AN
"2024-01-31 15",AN,AN,AN
"2024-01-31 16",0,0,0
"2024-01-31 17",0,0,0
"2024-01-31 18",0.0345,0,0
"2024-01-31 19",0.0645,0,0
"2024-01-31 20",0.1781,0,0
"2024-01-31 21",0.1424,0,0
"2024-01-31 22",0.0626,0,0
"2024-01-31 23",0.1226,0,0
"2024-02-01 0",0.0271,0,0
"2024-02-01 1",0,0,0
"2024-02-01 4",0,0,0
"2024-02-01 5",0,0,0
"2024-02-01 6",0.0211,0,0
"2024-02-01 7",0.0526,0,0
"2024-02-01 8",0.1149,0,0
"2024-02-01 9",0.1091,0,0
"2024-02-01 10",0.0248,0,0
"2024-02-01 11",0.0288,0,0
"2024-02-01 12",0.0288,0,0
"2024-02-01 13",0,0,0
"2024-02-01 14",0,0,0
"2024-02-01 15",0,0,0
"2024-02-01 16",0.0205,0,0
"2024-02-01 17",0,0,0
"2024-02-01 18",0.0334,0,0
"2024-02-01 19",0,0,0
"2024-02-01 20",0,0,0
"2024-02-01 21",0.0199,0,0
"2024-02-01 22",0,0,0
"2024-02-01 23",0.0608,0,0
"2024-02-02 2",0.0817,0,0
"2024-02-02 3",0.0917,0,0
"2024-02-02 4",0.0569,0.2538,0
"2024-02-02 7",0.0987,0,0
"2024-02-02 8",0.0728,0,0
"2024-02-02 9",0.0538,0,0
"2024-02-02 10",0.0523,0,0
"2024-02-02 11",0.029,0,0
"2024-02-02 12",0.0373,0,0
"2024-02-02 14",0.0366,0,0
"2024-02-02 15",0.0486,0,0
"2024-02-02 16",0,0,0
"2024-02-02 17",0.0239,0,0
"2024-02-02 18",0,0,0
"2024-02-02 19",0,0,0
"2024-02-02 20",0,0,0
"2024-02-02 21",0,0,0
"2024-02-02 22",0,0,0
"2024-02-02 23",0.0467,0,0
"2024-02-03 0",0.0605,0,0
"2024-02-03 1",0.0468,0,0
"2024-02-03 4",0.0871,0,0
"2024-02-03 5",0.1247,0,0
"2024-02-03 6",0.1298,0,0
"2024-02-03 7",0.1787,0,0
"2024-02-03 8",0.2246,0,0
"2024-02-03 9",0.1638,0,0
"2024-02-03 10",0.0204,0,0
"2024-02-03 11",0,0,0
"2024-02-03 12",0,0,0
"2024-02-03 13",0,0,0
"2024-02-03 14",0,0,0
"2024-02-03 15",0,0,0
"2024-02-03 16",0,0,0
"2024-02-03 17",0,0,0
"2024-02-03 18",0.0455,0,0
"2024-02-03 19",0.0355,0,0
"2024-02-03 20",0.0285,0,0
"2024-02-03 23",0,0,0
"2024-02-04 3",0.2173,0,0
"2024-02-04 4",0.1234,0,0
"2024-02-04 5",0.1244,0,0
"2024-02-04 6",0.1202,0,0
"2024-02-04 7",0.0343,0,0
"2024-02-04 8",0,0,0
"2024-02-04 9",0,0,0
"2024-02-04 10",0,0,0
"2024-02-04 11",0,0,0
"2024-02-04 12",0,0,0
"2024-02-04 13",0,0,0
"2024-02-04 14",0,0,0
"2024-02-04 15",0,0,0
"2024-02-04 16",0,0,0
"2024-02-04 17",0,0,0
"2024-02-04 18",0.0202,0,0
"2024-02-04 19",0.0263,0,0
"2024-02-04 20",0.0538,0,0
"2024-02-04 21",0.0373,0,0
"2024-02-04 22",0,0,0
"2024-02-04 23",0,0,0
"2024-02-05 0",0,0,0
"2024-02-05 1",0,0,0
"2024-02-05 4",0,0,0
"2024-02-05 5",0.0195,0,0
"2024-02-05 6",0,0,0
"2024-02-05 7",0,0,0
"2024-02-05 8",0.0333,0,0
"2024-02-05 9",0,0,0
"2024-02-05 10",0,0,0
"2024-02-05 11",0,0,0
"2024-02-05 12",0,0,0
"2024-02-05 13",0,0,0
"2024-02-05 14",0,0,0
