Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-23 21",0,0.0522,0
"2025-01-23 22",0,0.0035,0
"2025-01-23 23",0.1257,0.0074,0
"2025-01-24 2",0,0.0371,0.0041
"2025-01-24 3",0,0.0282,0
"2025-01-24 4",0,0.0199,0
"2025-01-24 5",0,0.0031,0.0422
"2025-01-24 6",0,0.0269,0.0179
"2025-01-24 7",0,0.0232,0.0037
"2025-01-24 8",0.0267,0.0039,0.1064
"2025-01-24 9",0,0.0026,0.0028
"2025-01-24 10",0,0.0387,0.0035
"2025-01-24 11",0,0.1033,0
"2025-01-24 12",0,0,0.0074
"2025-01-24 13",0,0.0505,0.0288
"2025-01-24 14",0,0.0223,0
"2025-01-24 15",0,0.0468,0.0177
"2025-01-24 16",0,0.0009,0
"2025-01-24 17",0.0313,0.0546,0.0658
"2025-01-24 18",0.0355,0.0076,0.0891
"2025-01-24 19",0.0642,0.1409,0.1153
"2025-01-24 20",0,0.0197,0.0363
"2025-01-24 21",0,0.0789,0.0537
"2025-01-24 22",0,0.0267,0.0601
"2025-01-24 23",0,0.0642,0.0384
"2025-01-25 0",0,0.052,0.0326
"2025-01-25 1",0,0.0658,0.0599
"2025-01-25 4",0,0.0181,0.0107
"2025-01-25 5",0,0.0142,0
"2025-01-25 6",0,0.0365,0
"2025-01-25 7",0,0.0262,0
"2025-01-25 8",0,0.0411,0
"2025-01-25 9",0,0.0042,0
"2025-01-25 10",0,0.0483,0
"2025-01-25 11",0,0.0181,0
"2025-01-25 12",0,0.0373,0.021
"2025-01-25 13",0,0.0474,0
"2025-01-25 14",0,0.0373,0
"2025-01-25 15",0,0.0149,0
"2025-01-25 16",0,0.0227,0
"2025-01-25 17",0,0.0463,0
"2025-01-25 18",0,0.0181,0.0087
"2025-01-25 19",0,0.0472,0
"2025-01-25 20",0,0.0315,0.0312
"2025-01-25 23",0,0.062,0.0135
"2025-01-26 3",0,0.0079,0.0299
"2025-01-26 4",0,0.09,0.0026
"2025-01-26 5",0,0.0007,0
"2025-01-26 6",0,0.0752,0
"2025-01-26 7",0,0.0031,0.0096
"2025-01-26 8",0,0.0695,0.0138
"2025-01-26 9",0,0,0.0042
"2025-01-26 10",0,0.0345,0
"2025-01-26 11",0,0.0752,0.0085
"2025-01-26 12",0,0.0035,0
"2025-01-26 13",0,0.0371,0
"2025-01-26 14",0,0.0055,0
"2025-01-26 15",0,0.0229,0
"2025-01-26 16",0,0.0478,0
"2025-01-26 17",0,0.005,0
"2025-01-26 18",0,0.1114,0.0623
"2025-01-26 19",0,0.0207,0.0129
"2025-01-26 20",0,0.0828,0.0197
"2025-01-26 21",0,0.0409,0.0476
"2025-01-26 22",0,0.054,0.0129
"2025-01-26 23",0,0.0229,0
"2025-01-27 0",0,0.0622,0.0214
"2025-01-27 1",0,0.0081,0
"2025-01-27 4",0,0.0598,0.0264
"2025-01-27 5",0,0.0345,0
"2025-01-27 6",0,0.016,0.0136
"2025-01-27 7",0.0622,0.0653,0.4517
"2025-01-27 8",0,0.0074,0.031
"2025-01-27 9",0,0.0332,0.0065
"2025-01-27 10",0,0.0065,0.0037
"2025-01-27 11",0,0.0183,0
"2025-01-27 12",0,0.036,0
"2025-01-27 13",0,0.0653,0.0267
"2025-01-27 14",0,0.0483,0.0205
"2025-01-27 15",0,0.0295,0.0046
"2025-01-27 16",0,0.0644,0
"2025-01-27 17",0,0.0306,0
"2025-01-27 18",0,0.0992,0
"2025-01-27 19",0.0489,0.0395,0.0301
"2025-01-27 20",0.0526,0.0136,0.0559
"2025-01-27 21",0,0.0502,0.0267
"2025-01-27 22",0,0.0485,0.0122
"2025-01-27 23",0,0.0992,0.0092
"2025-01-28 2",0,0,0.0183
"2025-01-28 3",0,0.0568,0.0229
"2025-01-28 4",0,0.0485,0.0275
"2025-01-28 5",0,0,0.0068
"2025-01-28 6",0,0.0149,0.028
"2025-01-28 7",0.0819,0.0983,0.0111
"2025-01-28 8",0,0,0.0085
"2025-01-28 9",0,0.0061,0.0066
"2025-01-28 10",0,0.0227,0
"2025-01-28 11",0,0.0148,0.0079
"2025-01-28 12",0,0.0089,0.0118
"2025-01-28 13",0,0.071,0
"2025-01-28 14",0,0,0
"2025-01-28 15",0,0.0675,0
"2025-01-28 16",0,0.0278,0
"2025-01-28 17",0,0.0192,0
"2025-01-28 18",0,0.0157,0.0537
"2025-01-28 19",0,0.0074,0.0474
"2025-01-28 20",0.0715,0.0756,0.0679
"2025-01-28 21",0.0371,0.0557,0.0415
"2025-01-28 22",0,0.0314,0.0085
"2025-01-28 23",0,0.028,0.0579
"2025-01-29 0",0,0.0413,0.0135
"2025-01-29 1",0,0.073,0.0478
"2025-01-29 4",0,0.0087,0.1173
"2025-01-29 5",0,0.0284,0
"2025-01-29 6",0,0.0535,0.0858
"2025-01-29 7",0.071,0.0358,0.0343
"2025-01-29 8",0,0.0094,0.0177
"2025-01-29 9",0,0.0177,0.0063
"2025-01-29 10",0,0.0183,0.0066
"2025-01-29 11",0,0.0076,0
"2025-01-29 12",0,0.0599,0
"2025-01-29 13",0,0.0111,0.0489
"2025-01-29 14",0,0.0277,0
"2025-01-29 15",0,0.0207,0
"2025-01-29 16",0,0.0378,0
"2025-01-29 17",0,0.0363,0
"2025-01-29 18",0,0.028,0.017
"2025-01-29 19",0,0.0195,0.026
"2025-01-29 20",0.0385,0.1016,0.0612
"2025-01-29 21",0,0.0561,0.0452
"2025-01-29 22",0.0385,0.0444,0.0411
"2025-01-29 23",0,0,0.0052
"2025-01-30 2",0,0,0
"2025-01-30 3",0,0,0
"2025-01-30 4",0,0.0125,0
"2025-01-30 5",0,0.0179,0.0142
"2025-01-30 6",0,0.0275,0.0042
"2025-01-30 7",0.0308,0.0426,0.047
"2025-01-30 8",0,0.012,0
"2025-01-30 9",0,0.0232,0.0197
"2025-01-30 10",0,0,0.0221
"2025-01-30 11",0,0.0219,0
"2025-01-30 12",0,0.0369,0
"2025-01-30 13",0,0.0297,0
"2025-01-30 14",0,0.1321,0
"2025-01-30 15",0,0.0136,0
"2025-01-30 16",0,0.0175,0.0098
"2025-01-30 17",0,0.0041,0.0489
"2025-01-30 18",0,0.0712,0.0317
"2025-01-30 19",0.0415,0.0354,0.0483
"2025-01-30 20",0,0.0288,0.0118
"2025-01-30 21",0,0.0428,0.0258
"2025-01-30 22",0.0485,0.0105,0.0616
"2025-01-30 23",0,0.0435,0.0356
"2025-01-31 4",BJ,BJ,BJ
"2025-01-31 5",0,0,0
"2025-01-31 6",0,0.0325,0
"2025-01-31 7",0,0.0723,0.0409
"2025-01-31 8",0,0.0284,0.0055
"2025-01-31 9",0.0325,0.0865,0.0699
"2025-01-31 10",0,0.0454,0.0605
"2025-01-31 11",0,0.111,0.035
"2025-01-31 12",0,0.0752,0.0256
"2025-01-31 13",0,0.0129,0.0601
"2025-01-31 14",0,0.0546,0.0764
"2025-01-31 15",0,0.0463,0.0183
"2025-01-31 16",0,0.0952,0
"2025-01-31 17",0,0.0952,0.0382
"2025-01-31 18",0,0.0741,0.0194
"2025-01-31 19",0,0.0157,0.0118
"2025-01-31 20",0,0.0151,0.0706
"2025-01-31 21",0,0.1149,0
"2025-01-31 22",0.0341,0.064,0
"2025-01-31 23",0,0.0194,0.0066
"2025-02-01 2",0,0,0
"2025-02-01 3",0,0,0.0114
"2025-02-01 4",0,0.0142,0
"2025-02-01 5",0,0.0066,0
"2025-02-01 6",0,0.0413,0
"2025-02-01 7",0,0,0.0061
"2025-02-01 8",0,0,0
"2025-02-01 9",0,0.0059,0
"2025-02-01 10",0,0.0153,0
"2025-02-01 11",0,0.0404,0
"2025-02-01 12",0,0,0
"2025-02-01 13",0,0.019,0
"2025-02-01 14",0,0.0247,0
"2025-02-01 15",0,0.0061,0
"2025-02-01 16",0,0.005,0.0496
"2025-02-01 17",0,0.0376,0
"2025-02-01 18",0,0.0214,0
"2025-02-01 19",0,0.0504,0.0527
"2025-02-01 20",0,0.0627,0.0301
"2025-02-01 23",0.038,0.0374,0.0435
"2025-02-02 0",0.0285,0.0136,0.112
"2025-02-02 1",0.0373,0.0315,0.1483
"2025-02-02 5",0,0.007,0.2331
"2025-02-02 6",0,0.0146,0.1477
"2025-02-02 7",0,0.0175,0.1398
"2025-02-02 8",0,0,0.1734
"2025-02-02 9",0,0,0.1365
"2025-02-02 10",0,0.0323,0.1282
"2025-02-02 11",0,0,0.1339
"2025-02-02 12",0,0.0236,0.0915
"2025-02-02 13",0,0.0186,0.0769
"2025-02-02 14",0,0.009,0.099
