Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-03-08 12",0,0.2042,0.3271
"2025-03-08 13",0,0.1991,0.318
"2025-03-08 14",0,0.1997,0.3121
"2025-03-08 15",0,0.2349,0.3302
"2025-03-08 16",0,0.2722,0.3453
"2025-03-08 17",0,0.1912,0.3252
"2025-03-08 18",0.0313,0.1884,0.3521
"2025-03-08 19",0.0655,0.2294,0.3642
"2025-03-08 20",0.2496,0.3531,0.3692
"2025-03-08 23",0.6602,0.4678,0.2783
"2025-03-09 3",0.0965,0.2088,0.1967
"2025-03-09 4",0.0858,0.2544,0.1954
"2025-03-09 5",0.1681,0.2815,0.3395
"2025-03-09 6",0.1228,0.2477,0.2238
"2025-03-09 7",0.1214,0.2846,0.2542
"2025-03-09 8",0.0698,0.1719,0.2424
"2025-03-09 9",0.0425,0.2301,0.2479
"2025-03-09 10",0.0314,0.2119,0.2848
"2025-03-09 11",0.016,0.272,0.2603
"2025-03-09 12",0,0.2084,0.283
"2025-03-09 13",0,0.2218,0.3048
"2025-03-09 14",0.0342,0.2596,0.2945
"2025-03-09 15",0.018,0.2857,0.3731
"2025-03-09 16",0.0322,0.2335,0.3506
"2025-03-09 17",0.0206,0.2711,0.3273
"2025-03-09 18",0.032,0.3173,0.4448
"2025-03-09 19",0.0833,0.2763,0.443
"2025-03-09 20",0.1248,0.3384,0.384
"2025-03-09 21",0.353,0.3862,0.4665
"2025-03-09 22",0.3002,0.3334,0.4263
"2025-03-09 23",0.2197,0.4007,0.2906
"2025-03-10 0",0.1871,0.362,0.2807
"2025-03-10 1",0.2644,0.2961,0.2648
"2025-03-10 4",0.2595,0.278,0.1567
"2025-03-10 5",0.485,0.2796,0.1945
"2025-03-10 6",0.9579,0.3271,0.2564
"2025-03-10 7",0.9181,0.374,0.2277
"2025-03-10 8",0.318,0.3022,0.3162
"2025-03-10 15",0,0.1976,0.2452
"2025-03-10 16",0.0221,0.16,0.2527
"2025-03-10 17",0.0142,0.2431,0.2907
"2025-03-10 18",0.0429,0.2552,0.3626
"2025-03-10 19",0.1217,0.293,0.3716
"2025-03-10 20",0.1833,0.2762,0.3073
"2025-03-10 21",0.299,0.2944,0.3352
"2025-03-10 22",0.4707,0.3587,0.3403
"2025-03-10 23",0.5385,0.3871,0.3267
"2025-03-11 2",0.2798,0.2699,0.2652
"2025-03-11 3",0.3398,0.287,0.2409
"2025-03-11 4",0.2028,0.2897,0.2088
"2025-03-11 5",0.3373,0.277,0.1769
"2025-03-11 6",0.0983,0.2797,0.1988
"2025-03-11 7",0.0876,0.2027,0.2165
"2025-03-11 8",0.0688,0.2987,0.3213
"2025-03-11 9",0.0481,0.3167,0.2245
"2025-03-11 10",0.0259,0.2311,0.2594
"2025-03-11 11",0.0529,0.2862,0.2693
"2025-03-11 12",0.0411,0.2625,0.3011
"2025-03-11 13",0.0463,0.2752,0.3359
