dt,Mobile Lab O3,UDAQ O3,merged_ozone,8hr_rolling_avg_Mobile Lab O3,MDA8_O3_Mobile Lab O3,Exceedance_day_Mobile Lab O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-08-07 17:00:00,61.5545,58.0,61.5545,65.53268157894225,66.37645519621569,False,64.0,64.125,False,65.53268157894225,66.37645519621569,False
2024-08-07 18:00:00,57.21435560485416,54.0,57.21435560485416,66.37645519621569,66.37645519621569,False,64.125,64.125,False,66.37645519621569,66.37645519621569,False
2024-08-07 19:00:00,56.76661111111111,52.0,56.76661111111111,65.76032325177124,66.37645519621569,False,63.0,64.125,False,65.76032325177124,66.37645519621569,False
2024-08-07 20:00:00,48.07483333333333,44.0,48.07483333333333,62.942760751771246,66.37645519621569,False,59.75,64.125,False,62.942760751771246,66.37645519621569,False
2024-08-07 21:00:00,45.70772222222222,44.0,45.70772222222222,59.42765698625955,66.37645519621569,False,56.25,64.125,False,59.42765698625955,66.37645519621569,False
2024-08-07 22:00:00,48.0425,46.0,48.0425,55.84345771051642,66.37645519621569,False,52.875,64.125,False,55.84345771051642,66.37645519621569,False
2024-08-07 23:00:00,51.0135,47.0,51.0135,54.061227186875655,66.37645519621569,False,50.625,64.125,False,54.061227186875655,66.37645519621569,False
2024-08-08 00:00:00,44.25005555555555,38.0,44.25005555555555,51.578009728384544,76.20374962985085,True,47.875,71.25,True,51.578009728384544,76.20374962985085,True
2024-08-08 01:00:00,35.08338888888889,29.0,35.08338888888889,48.26912083949566,76.20374962985085,True,44.25,71.25,True,48.26912083949566,76.20374962985085,True
2024-08-08 02:00:00,39.15822222222222,31.0,39.15822222222222,46.01210416666667,76.20374962985085,True,41.375,71.25,True,46.01210416666667,76.20374962985085,True
2024-08-08 03:00:00,31.884055555555555,25.0,31.884055555555555,42.901784722222224,76.20374962985085,True,38.0,71.25,True,42.901784722222224,76.20374962985085,True
2024-08-08 04:00:00,26.924222222222223,20.0,26.924222222222223,40.257958333333335,76.20374962985085,True,35.0,71.25,True,40.257958333333335,76.20374962985085,True
2024-08-08 05:00:00,26.80188888888889,22.0,26.80188888888889,37.894729166666664,76.20374962985085,True,32.25,71.25,True,37.894729166666664,76.20374962985085,True
2024-08-08 06:00:00,26.05688888888889,18.0,26.05688888888889,35.14652777777778,76.20374962985085,True,28.75,71.25,True,35.14652777777778,76.20374962985085,True
2024-08-08 07:00:00,18.001222222222225,11.0,18.001222222222225,31.019993055555556,76.20374962985085,True,24.25,71.25,True,31.019993055555556,76.20374962985085,True
2024-08-08 08:00:00,18.31977777777778,13.0,18.31977777777778,27.778708333333334,76.20374962985085,True,21.125,71.25,True,27.778708333333334,76.20374962985085,True
2024-08-08 09:00:00,36.007111111111115,34.0,36.007111111111115,27.894173611111114,76.20374962985085,True,21.75,71.25,True,27.894173611111114,76.20374962985085,True
2024-08-08 10:00:00,53.17666666666667,51.0,53.17666666666667,29.646479166666666,76.20374962985085,True,24.25,71.25,True,29.646479166666666,76.20374962985085,True
2024-08-08 11:00:00,58.88250000000001,54.0,58.88250000000001,33.02128472222222,76.20374962985085,True,27.875,71.25,True,33.02128472222222,76.20374962985085,True
2024-08-08 12:00:00,69.94238888888889,67.0,69.94238888888889,38.39855555555556,76.20374962985085,True,33.75,71.25,True,38.39855555555556,76.20374962985085,True
2024-08-08 13:00:00,76.84356698174668,73.0,76.84356698174668,44.65376531716278,76.20374962985085,True,40.125,71.25,True,44.65376531716278,76.20374962985085,True
2024-08-08 14:00:00,87.35172222222222,85.0,87.35172222222222,52.31561948382945,76.20374962985085,True,48.5,71.25,True,52.31561948382945,76.20374962985085,True
2024-08-08 15:00:00,90.53538888888889,82.0,90.53538888888889,61.38239031716278,76.20374962985085,True,57.375,71.25,True,61.38239031716278,76.20374962985085,True
2024-08-08 16:00:00,77.488,71.0,77.488,68.77841809494055,76.20374962985085,True,64.625,71.25,True,68.77841809494055,76.20374962985085,True
2024-08-08 17:00:00,70.43033333333332,66.0,70.43033333333332,73.08132087271834,76.20374962985085,True,68.625,71.25,True,73.08132087271834,76.20374962985085,True
2024-08-08 18:00:00,69.61326339039339,65.0,69.61326339039339,75.13589546318417,76.20374962985085,True,70.375,71.25,True,75.13589546318417,76.20374962985085,True
2024-08-08 19:00:00,67.42533333333333,61.0,67.42533333333333,76.20374962985085,76.20374962985085,True,71.25,71.25,True,76.20374962985085,76.20374962985085,True
2024-08-08 20:00:00,59.73238888888889,52.0,59.73238888888889,74.92749962985084,76.20374962985085,True,69.375,71.25,True,74.92749962985084,76.20374962985085,True
2024-08-08 21:00:00,51.633944444444445,47.0,51.633944444444445,71.77629681268806,76.20374962985085,True,66.125,71.25,True,71.77629681268806,76.20374962985085,True
2024-08-08 22:00:00,51.173500000000004,46.0,51.173500000000004,67.25401903491029,76.20374962985085,True,61.25,71.25,True,67.25401903491029,76.20374962985085,True
2024-08-08 23:00:00,46.93544444444444,43.0,46.93544444444444,61.804025979354726,76.20374962985085,True,56.375,71.25,True,61.804025979354726,76.20374962985085,True
2024-08-09 00:00:00,44.77344444444445,42.0,44.77344444444445,57.714706534910285,57.714706534910285,False,52.75,52.75,False,57.714706534910285,57.714706534910285,False
2024-08-09 01:00:00,48.14272222222222,44.0,48.14272222222222,54.9287551460214,57.714706534910285,False,50.0,52.75,False,54.9287551460214,57.714706534910285,False
2024-08-09 02:00:00,46.30861111111111,43.0,46.30861111111111,52.01567361111111,57.714706534910285,False,47.25,52.75,False,52.01567361111111,57.714706534910285,False
2024-08-09 03:00:00,47.65694444444445,44.0,47.65694444444445,49.544624999999996,57.714706534910285,False,45.125,52.75,False,49.544624999999996,57.714706534910285,False
2024-08-09 04:00:00,41.794222222222224,37.0,41.794222222222224,47.30235416666667,57.714706534910285,False,43.25,52.75,False,47.30235416666667,57.714706534910285,False
2024-08-09 05:00:00,36.6725,32.0,36.6725,45.43217361111111,57.714706534910285,False,41.375,52.75,False,45.43217361111111,57.714706534910285,False
2024-08-09 06:00:00,39.36472222222222,36.0,39.36472222222222,43.95607638888889,57.714706534910285,False,40.125,52.75,False,43.95607638888889,57.714706534910285,False
2024-08-09 07:00:00,33.36044444444445,28.0,33.36044444444445,42.25920138888889,57.714706534910285,False,38.25,52.75,False,42.25920138888889,57.714706534910285,False
2024-08-09 08:00:00,35.53766666666667,34.0,35.53766666666667,41.104729166666665,57.714706534910285,False,37.25,52.75,False,41.104729166666665,57.714706534910285,False
2024-08-09 09:00:00,38.305722222222215,38.0,38.305722222222215,39.87510416666667,57.714706534910285,False,36.5,52.75,False,39.87510416666667,57.714706534910285,False
2024-08-09 10:00:00,45.26422222222223,45.0,45.26422222222223,39.74455555555556,57.714706534910285,False,36.75,52.75,False,39.74455555555556,57.714706534910285,False
