time_local,Mobile Lab O3,time_UTC
2024-07-25 22:00:00,52.77536111111111,2024-07-26 04:00:00
2024-07-25 23:00:00,52.92688888888889,2024-07-26 05:00:00
2024-07-26 00:00:00,50.614111111111114,2024-07-26 06:00:00
2024-07-26 01:00:00,42.212916666666665,2024-07-26 07:00:00
2024-07-26 02:00:00,44.10991666666666,2024-07-26 08:00:00
2024-07-26 03:00:00,44.412305555555555,2024-07-26 09:00:00
2024-07-26 04:00:00,44.49166666666667,2024-07-26 10:00:00
2024-07-26 05:00:00,43.75827777777777,2024-07-26 11:00:00
2024-07-26 06:00:00,41.90833333333333,2024-07-26 12:00:00
2024-07-26 07:00:00,36.827666666666666,2024-07-26 13:00:00
2024-07-26 08:00:00,35.768452690309346,2024-07-26 14:00:00
2024-07-26 09:00:00,42.26490803942026,2024-07-26 15:00:00
2024-07-26 10:00:00,45.50544217687076,2024-07-26 16:00:00
2024-07-26 11:00:00,,2024-07-26 17:00:00
2024-07-26 12:00:00,,2024-07-26 18:00:00
2024-07-26 13:00:00,,2024-07-26 19:00:00
2024-07-26 14:00:00,,2024-07-26 20:00:00
2024-07-26 15:00:00,70.96541029368059,2024-07-26 21:00:00
2024-07-26 16:00:00,72.96510645731973,2024-07-26 22:00:00
2024-07-26 17:00:00,77.16732128823892,2024-07-26 23:00:00
2024-07-26 18:00:00,77.71863279002964,2024-07-27 00:00:00
2024-07-26 19:00:00,78.14772222222223,2024-07-27 01:00:00
2024-07-26 20:00:00,73.7593611111111,2024-07-27 02:00:00
2024-07-26 21:00:00,61.9565,2024-07-27 03:00:00
2024-07-26 22:00:00,61.82508333333333,2024-07-27 04:00:00
2024-07-26 23:00:00,62.72558333333333,2024-07-27 05:00:00
2024-07-27 00:00:00,60.87116666666667,2024-07-27 06:00:00
2024-07-27 01:00:00,51.04902777777777,2024-07-27 07:00:00
2024-07-27 02:00:00,59.54080555555556,2024-07-27 08:00:00
2024-07-27 03:00:00,52.76627777777777,2024-07-27 09:00:00
2024-07-27 04:00:00,47.06733333333333,2024-07-27 10:00:00
2024-07-27 05:00:00,45.50841666666667,2024-07-27 11:00:00
2024-07-27 06:00:00,41.30155555555555,2024-07-27 12:00:00
2024-07-27 07:00:00,44.42519444444444,2024-07-27 13:00:00
2024-07-27 08:00:00,40.316833333333335,2024-07-27 14:00:00
2024-07-27 09:00:00,37.943888888888885,2024-07-27 15:00:00
2024-07-27 10:00:00,46.39011111111111,2024-07-27 16:00:00
2024-07-27 11:00:00,51.683138888888884,2024-07-27 17:00:00
2024-07-27 12:00:00,51.313472222222224,2024-07-27 18:00:00
2024-07-27 13:00:00,53.26616666666666,2024-07-27 19:00:00
2024-07-27 14:00:00,55.60261111111111,2024-07-27 20:00:00
2024-07-27 15:00:00,63.26652777777778,2024-07-27 21:00:00
2024-07-27 16:00:00,61.936138888888884,2024-07-27 22:00:00
2024-07-27 17:00:00,65.2538611111111,2024-07-27 23:00:00
2024-07-27 18:00:00,68.83337370915531,2024-07-28 00:00:00
2024-07-27 19:00:00,62.79547222222222,2024-07-28 01:00:00
2024-07-27 20:00:00,59.935583333333334,2024-07-28 02:00:00
2024-07-27 21:00:00,58.61588888888889,2024-07-28 03:00:00
2024-07-27 22:00:00,51.25433333333333,2024-07-28 04:00:00
2024-07-27 23:00:00,44.99908333333334,2024-07-28 05:00:00
2024-07-28 00:00:00,43.126805555555556,2024-07-28 06:00:00
2024-07-28 01:00:00,34.18391666666666,2024-07-28 07:00:00
2024-07-28 02:00:00,31.494805555555555,2024-07-28 08:00:00
2024-07-28 03:00:00,31.91113888888889,2024-07-28 09:00:00
2024-07-28 04:00:00,28.646583333333336,2024-07-28 10:00:00
2024-07-28 05:00:00,25.313055555555554,2024-07-28 11:00:00
2024-07-28 06:00:00,26.263055555555557,2024-07-28 12:00:00
2024-07-28 07:00:00,27.766055555555557,2024-07-28 13:00:00
2024-07-28 08:00:00,31.242983213411836,2024-07-28 14:00:00
