Index,Varname,Duplicate_name,Expected_tracers
96,MethylCycloHexane_WAS,Methylcyclohexane,MethylCycloPentane_WAS; Methylcyclopentane; nHeptane_WAS; nHeptane; Cyclohexane; nHexane_WAS; nHexane; CO_Piccaro
97,c2Pentene_WAS,cis2Pentene,t2Pentene_WAS; trans2Pentene; x1_Pentene_WAS; Pent1ene; Propene_WAS; Propylene; Ethene_WAS; Ethylene; CO_Piccaro
98,t2Pentene_WAS,trans2Pentene,c2Pentene_WAS; cis2Pentene; x1_Pentene_WAS; Pent1ene; Propene_WAS; Propylene; Ethene_WAS; Ethylene; CO_Piccaro
99,c2Butene_WAS,cis2Butene,t2Butene_WAS; trans2Butene; x1_Butene_WAS; But1ene; Propene_WAS; Propylene; Ethene_WAS; Ethylene; CO_Piccaro
100,t2Butene_WAS,trans2Butene,c2Butene_WAS; cis2Butene; x1_Butene_WAS; But1ene; Propene_WAS; Propylene; Ethene_WAS; Ethylene; CO_Piccaro
101,iPropylONO2_WAS,,nPropylONO2_WAS; NOy_LIF; Propane_WAS; Propane; nButane_WAS; nButane
102,CFCl3_WAS,,CF2Cl2_WAS; CCl4_WAS; C2Cl4_WAS
103,nPropylONO2_WAS,,iPropylONO2_WAS; NOy_LIF; nButane_WAS; nButane; Propane_WAS; Propane
104,Furan_WAS,,Benzene_WAS; Benzene_PTR; Benzene; Ethyne_WAS; Acetylene; x13_Butadiene_WAS; buta13diene; CO_Piccaro; NO_LIF; Acetonitrile_PTR
105,CH3Br_WAS,,Br2_CIMS; BrCl_CIMS; BrO_CIMS; CH4_Piccaro; CH4_CRDS; Acetonitrile_PTR
106,Ethylene,Ethene_WAS,Acetylene; Ethyne_WAS; Propylene; Propene_WAS; But1ene; x1_Butene_WAS; buta13diene; x13_Butadiene_WAS; CO_Piccaro; NO_LIF; Acrolein_PTR
107,Acetylene,Ethyne_WAS,CO_Piccaro; NO_LIF; Benzene; Benzene_WAS; Benzene_PTR; Ethylene; Ethene_WAS; HONO_CIMS; Acrolein_PTR; Acetaldehyde_PTR; CO2_Piccaro; nButane; nButane_WAS
108,nDecane,nDecane_WAS,nNonane; nNonane_WAS; nUndecane; nDodecane; nOctane; nOctane_WAS; Naphthalene_PTR; x3_Methylheptane; CO_Piccaro
109,Ethylbenzene,Ethyl_WAS,mpXylene; m_p_Xylene_WAS; oXylene; o_Xylene_WAS; C8Aromatics_PTR; Toluene; Toluene_WAS; Toluene_PTR; Benzene; Benzene_WAS; Benzene_PTR; iPentane_WAS; Isopentane; CO_Piccaro
110,Ethane,Ethane_WAS,CH4_Piccaro; CH4_CRDS; Propane; Propane_WAS; nButane; nButane_WAS; Isobutane; iButane_WAS; CO2_Piccaro
111,mpEthyltoluene,x3_x4_EthylToluene_WAS,x135_Trimethylbenzene; x135_TriMethylBenzene_WAS; oEthyltoluene; x2_EthylToluene_WAS; x124_Trimethylbenzene; x124_TriMethylBenzene_WAS; C9Aromatics_PTR; CO_Piccaro
112,oXylene,o_Xylene_WAS,mpXylene; m_p_Xylene_WAS; Ethylbenzene; Ethyl_WAS; C8Aromatics_PTR; Toluene; Toluene_WAS; Toluene_PTR; Benzene; Benzene_WAS; Benzene_PTR; iPentane_WAS; Isopentane; CO_Piccaro
113,buta13diene,x13_Butadiene_WAS,Ethylene; Ethene_WAS; Acetylene; Ethyne_WAS; Acrolein_PTR; Benzene; Benzene_WAS; Benzene_PTR; CO_Piccaro; NO_LIF
114,Styrene,Styrene_PTR,Benzene; Benzene_WAS; Benzene_PTR; Toluene; Toluene_WAS; Toluene_PTR; C8Aromatics_PTR; Ethylbenzene; Ethyl_WAS; CO_Piccaro; Ethyne_WAS; Acetylene
115,mpXylene,m_p_Xylene_WAS,oXylene; o_Xylene_WAS; Ethylbenzene; Ethyl_WAS; C8Aromatics_PTR; Toluene; Toluene_WAS; Toluene_PTR; Benzene; Benzene_WAS; Benzene_PTR; iPentane_WAS; Isopentane; CO_Piccaro
